Wind,JerlovType,a,b
1,III,0.262253245989671,0.00357440651539038
1,IC,0.261125817290003,0.00303666801642888
1,3C,0.259653658922409,0.00229228412134415
1,7C,0.257450241006996,0.000957062807863882
3,III,0.262226061110082,0.00366186532972766
3,IC,0.261085146456189,0.00309733290724464
3,3C,0.259607510421199,0.00232887031168855
3,7C,0.257417189710212,0.00103813350651513
5,III,0.262220558584479,0.00364211066777804
5,IC,0.261137664005677,0.00314324184639693
5,3C,0.259611894948656,0.00231880323636687
5,7C,0.257407584856086,0.00101857462086303
7,III,0.262223157854605,0.00367439169674673
7,IC,0.261076056047194,0.00312301962328257
7,3C,0.259645506533459,0.0023307232371619
7,7C,0.257375219699643,0.00108648093881265
9,III,0.26225302770217,0.00370982856188653
9,IC,0.261101837091992,0.0031375492695721
9,3C,0.259652180979485,0.00242029732890729
9,7C,0.257292906383957,0.0010011799660337
