Wind,JerlovType,a,b,c,d
1,III,2.00507416744869e-05,-0.000795989242284586,0.0109721362986193,0.0284134101262886
1,IC,3.81851691576226e-05,-0.000965331259391388,0.0110699322056355,0.0308423037367819
1,3C,7.11471067208644e-05,-0.00118614010109923,0.0126932637959603,0.031725089539685
1,7C,0.000354733088890444,-0.000543076457969287,0.021430748462944,0.0418470867672205
5,III,2.63068634802294e-05,-0.00091366029146359,0.0117580556744835,0.0305801687381119
5,IC,4.06342123092309e-05,-0.000970961498277068,0.0116500262365404,0.0328555851527779
5,3C,7.50910730305018e-05,-0.00122952736869185,0.0139591430442004,0.0323911069467163
5,7C,0.000320808372588946,-0.000276395327779356,0.0221277127359959,0.0428696408529192
9,III,2.70568726570233e-05,-0.000900981190816813,0.0118642885459358,0.0331623263661373
9,IC,4.29680419078306e-05,-0.000986117487433723,0.0122775796804106,0.0339826524019933
9,3C,7.06041799970557e-05,-0.00115093348733989,0.0144907215273956,0.033335984578066
9,7C,0.000280743952315457,-7.77822930573188e-05,0.0226788341383281,0.0433459406197591
