Wind,JerlovType,a,b,c,d
1,III,3.1014253703891e-06,-3.25263848615825e-05,0.00170506642175887,0.019105206523679
1,IC,3.52627593062578e-06,5.89226402976086e-05,0.00218111801981028,0.0183558482022975
1,3C,2.40198825355523e-06,0.000252504412013254,0.00271077196359679,0.0177830245936588
1,7C,-3.3591292942385e-05,0.00227259730340864,0.00476511821381686,0.0223270767241639
3,III,3.39762879612362e-06,-4.35225562597333e-05,0.00181471239950352,0.0195677308371258
3,IC,3.48695967603992e-06,6.07448710536063e-05,0.0022220186207028,0.0188662734756301
3,3C,2.18687674178793e-06,0.000256481434580118,0.00279265928898318,0.0180704414710461
3,7C,-3.13257639501929e-05,0.00222830309290875,0.00507791959857056,0.0222123575869566
5,III,2.54789206276497e-06,-7.48125277907757e-08,0.00187243005148288,0.0217216268314539
5,IC,3.74474430739367e-06,4.22891328571365e-05,0.0031298025362941,0.0189257010128431
5,3C,2.75723885617174e-06,0.000225873423169067,0.00372914977602662,0.0180445348395793
5,7C,-2.93831503753527e-05,0.00215862318821306,0.00590344908678317,0.0221547568870489
7,III,2.34540853138892e-06,8.78950180205038e-06,0.00214878533083782,0.0229031647333895
7,IC,3.17679331865048e-06,6.47165515051322e-05,0.00325690148896091,0.0202543948157805
7,3C,2.50325412668078e-06,0.000221410053086895,0.00425925440179649,0.018063750063065
7,7C,-2.53370838598336e-05,0.00208093046824127,0.00651526300493539,0.0220691983486879
9,III,2.51037289943192e-06,3.56799549012775e-06,0.0022413375875158,0.0231413310280219
9,IC,3.01657068887471e-06,6.61195190356982e-05,0.00341710260206651,0.0201389643459702
9,3C,2.09085793932633e-06,0.000242584862273267,0.00404654247318139,0.0187905932703378
9,7C,-2.7057046472058e-05,0.00210539407386077,0.00647586935136823,0.0222530147388368
