Wind,JerlovType,a,b
1,III,1.74646204222531,0.154464018858379
1,IC,1.6675236037812,0.158953643916063
1,3C,1.56522193835699,0.154626397045143
1,7C,1.30917070635813,0.0899909590341404
3,III,1.74427003739803,0.153322247291838
3,IC,1.66725410393504,0.157892211284854
3,3C,1.56655570231023,0.153630636332751
3,7C,1.30978220317727,0.0900855096555684
5,III,1.75726518838026,0.148654180562929
5,IC,1.6813868554425,0.153769867303075
5,3C,1.57971470511249,0.151426297113191
5,7C,1.31336381038164,0.0899976721300461
7,III,1.76477559375419,0.145375344619253
7,IC,1.68912171067242,0.151542667301288
7,3C,1.5874461130662,0.150518445377202
7,7C,1.31547757067695,0.0904923366889825
9,III,1.76618163174698,0.144671486030046
9,IC,1.6912073076332,0.150975125592219
9,3C,1.58824514990173,0.150422402347905
9,7C,1.31622806080676,0.0904278932175908
