Wind,JerlovType,a,b
1,III,1.4196427439048,0.0898249835851019
1,IC,1.36764874744108,0.0891366260029035
1,3C,1.30456255816411,0.0819349901371992
1,7C,1.16793016166352,0.0404002399169569
3,III,1.41723461084998,0.089255506251864
3,IC,1.36623060364955,0.0883798541919767
3,3C,1.30500610700798,0.0809339046136253
3,7C,1.16847058155763,0.0405213434911088
5,III,1.42566147745593,0.0862172620655591
5,IC,1.37596359001671,0.0862209363754025
5,3C,1.31338682791185,0.0807237019995498
5,7C,1.17110670422083,0.0410532307493425
7,III,1.43037676264413,0.0841353696693904
7,IC,1.38097855147814,0.0849132979012658
7,3C,1.31870425829159,0.0803107504452567
7,7C,1.17273586713914,0.0410866483179132
9,III,1.43113458288312,0.0836903907670161
9,IC,1.38211757110328,0.0847080392803086
9,3C,1.31961701109367,0.080470872933979
9,7C,1.17256579466286,0.0413010261121533
