Wind,JerlovType,a,b,c,d
1,III,2.86423088132485e-06,-4.82173737127416e-05,0.00386987464288397,0.0363649908323184
1,IC,3.57772853502361e-06,3.01523112890512e-05,0.00472412795893234,0.036704346623279
1,3C,4.53403842973597e-06,0.000165740758015494,0.00595778703331409,0.0377441483185891
1,7C,6.22281589147709e-05,0.00177625674414163,0.0158969229495181,0.0468972428264621
5,III,2.97494740207929e-06,-5.47105594122355e-05,0.00437348947242258,0.0367385941564693
5,IC,3.47733707527754e-06,2.99299849508295e-05,0.00520563849598001,0.0369376740701721
5,3C,4.12324320307854e-06,0.000169067841054758,0.00642976976417296,0.0378401291527962
5,7C,6.53099804230655e-05,0.00171596018966759,0.0166109928399213,0.0472066035648088
9,III,2.62631383329751e-06,-3.93719398067575e-05,0.00483794893844617,0.0378935385058005
9,IC,3.12278716112831e-06,3.8079038901031e-05,0.00580217285610726,0.0374301228944539
9,3C,4.30852594241047e-06,0.000145530067250296,0.00735122163317137,0.0375682506997853
9,7C,7.09496586511422e-05,0.00162354732206201,0.0175471611042118,0.0476117708719353
