Wind,JerlovType,a,b,c,d
1,III,4.16880437876657e-06,-0.000127209519973189,0.00441625063812542,0.03515706102798
1,IC,5.66932904829267e-06,-7.37777061660354e-05,0.00516537202557087,0.036176889541069
1,3C,8.06888764329202e-06,1.82907544802361e-05,0.00654497698210024,0.0371664690467263
1,7C,5.97578766659408e-05,0.00165086617519665,0.0162248103083604,0.0466753128713204
3,III,4.30697136410527e-06,-0.000132804579814623,0.00444179910683071,0.0354659902397943
3,IC,5.5173925058288e-06,-6.76355803206263e-05,0.00511097880633086,0.0366012040144583
3,3C,8.41482849400042e-06,6.33082425885798e-06,0.00669111842342724,0.0370904621301703
3,7C,6.22805552302712e-05,0.0016033845246255,0.0165115180982975,0.046599469260085
5,III,4.3473769234684e-06,-0.000133398442814548,0.00480722378439814,0.035664241115986
5,IC,5.56809196520287e-06,-7.04414851061346e-05,0.0055406009704964,0.0365306220736402
5,3C,8.10245233802919e-06,8.30979626735048e-06,0.0071195095035675,0.0370515426687507
5,7C,6.24492730409543e-05,0.00159748368557206,0.0169135559963423,0.0469316424162151
7,III,3.98303666663952e-06,-0.00011264166769216,0.00498775152748092,0.0368601102254705
7,IC,5.39660525203566e-06,-6.71993096672977e-05,0.00603440135472342,0.0368158467109895
7,3C,7.15392904479344e-06,3.30630611470277e-05,0.00739476333621816,0.0376315724281846
7,7C,6.30657374306388e-05,0.0015751564526158,0.0174825266639055,0.0474456195616021
9,III,3.63286215341709e-06,-9.76287959714393e-05,0.00496711419843877,0.0373298886220979
9,IC,5.6435793123517e-06,-7.85842631559436e-05,0.00627435794271671,0.0366191585195223
9,3C,8.06594338845678e-06,-1.67297933206572e-06,0.00786882575531382,0.0370419587946975
9,7C,6.7212215025778e-05,0.00152021242734086,0.0177284221695912,0.0475590732764475
