Wind,JerlovType,a,b,c,d
1,III,-2.32100225288902e-06,0.000335393167470881,0.000581839683577968,0.0451849765401063
1,IC,-1.85103044281276e-06,0.000419638745925868,0.00174571978565968,0.0425975878914495
1,3C,8.98365121888122e-07,0.000469386951680566,0.00403185855834332,0.0406154778897415
1,7C,7.93340981210121e-05,0.00173294241306614,0.0159700035802657,0.0468235375398869
5,III,-2.32622725421795e-06,0.000326073154806004,0.00135860126369844,0.0452611657734469
5,IC,-1.97254208942096e-06,0.000414710499871067,0.00238098823584596,0.0426617071244964
5,3C,6.17651366005509e-07,0.000464554552198594,0.00463641591514115,0.0404859054187266
5,7C,8.55107711050982e-05,0.001629179373062,0.0168743765828445,0.0469301656309384
9,III,-2.50786415431217e-06,0.000324960912267433,0.00220468598680253,0.046403100815651
9,IC,-2.64416783379185e-06,0.00042735394398519,0.00307197530441404,0.0431420878597111
9,3C,8.63202999591227e-07,0.000437787304374248,0.00561888200813677,0.0401847523723743
9,7C,8.92259377786807e-05,0.00156554179543032,0.0177463707025181,0.047376629299595
