Wind,JerlovType,a,b
1,III,3.60531144873745,0.942753626337317
1,IC,3.14452644348406,0.777801993466914
1,3C,2.67087151104385,0.544167766291986
1,7C,1.98911580952668,0.124143671328348
3,III,3.6128118604513,0.940463024366201
3,IC,3.15004683944607,0.777631642303134
3,3C,2.67423708606632,0.544483813775484
3,7C,1.98944713692973,0.124054085460284
5,III,3.66515889310377,0.945508641157507
5,IC,3.18425383867647,0.782165182882768
5,3C,2.69461710005735,0.547753731039488
5,7C,1.99152708474145,0.124469541431259
7,III,3.72643474316155,0.951004674319163
7,IC,3.2244051127151,0.787935536405363
7,3C,2.71895801635679,0.551527516077333
7,7C,1.99419717184415,0.124511922774186
9,III,3.74318375511742,0.951703471132931
9,IC,3.23660439969947,0.789111325968486
9,3C,2.72626538816922,0.55286322960111
9,7C,1.9951353495536,0.125135411256319
